enjoyment,language,asses,comments,education,gender,age,workerid
1,English,No,No comments.,4,Male,38,0
2,english,Yes,,2,Male,23,1
2,english,Yes,thank you,1,Female,36,2
2,English,Yes,Thanks,3,Female,62,3
2,English,Yes,I like how responsive the task was. I was able to do it quite fast.,2,Male,34,4
2,English,Yes,,3,Male,37,5
2,english,Yes,,3,Male,30,6
2,english,Yes,,2,Male,26,7
2,English,Yes,,3,Male,36,8
1,english,Yes,n/a,3,Male,28,9
2,English,Yes,,2,Female,27,10
1,English,Yes,,2,Male,26,11
2,English,Yes,"Thank You
A3908297ZI3LES",1,Female,57,12
2,english,Yes,,1,Male,42,13
2,English,Yes,"Enjoyable task, thank you. ",2,Male,41,14
