utterance,object,slide_number_in_experiment,response,workerid,rt,Answer.time_in_minutes
bot_check,Jessica,1,Jessica,0,0,5.3734166666666665
ball,ball_plastic_green,3,"[0.75, 0.64]",0,10190,5.3734166666666665
pitcher,pitcher_plastic_original,4,"[0.78, 0.98]",0,6001,5.3734166666666665
chair,chair_plastic_purple,5,"[0.75, 0.62]",0,23193,5.3734166666666665
spoon,spoon_metal_original,6,"[1, 0.99]",0,6316,5.3734166666666665
bottle,bottle_plastic_original,7,"[0.98, 0.98]",0,5660,5.3734166666666665
box,box_wood_green,8,"[0.99, 0.55]",0,15412,5.3734166666666665
bag,bag_plastic_original,9,"[1, 0.98]",0,19330,5.3734166666666665
boot,boot_leather_original,10,"[0.99, 0.9]",0,3489,5.3734166666666665
bowl,bowl_metal_blue,11,"[0.98, 0.98]",0,5660,5.3734166666666665
spoon,spoon_plastic_green,12,"[0.99, 0.6]",0,13928,5.3734166666666665
box,box_cardboard_original,13,"[0.99, 0.99]",0,5078,5.3734166666666665
jacket,jacket_denim_original,14,"[0.99, 0.9]",0,9264,5.3734166666666665
pitcher,pitcher_metal_blue,15,"[1, 0.78]",0,5673,5.3734166666666665
table,table_wood_green,16,"[0.99, 0.46]",0,8187,5.3734166666666665
cup,cup_plastic_original,17,"[1, 0.77]",0,16095,5.3734166666666665
table,table_metal_original,18,"[0.99, 0.65]",0,6207,5.3734166666666665
plate,plate_plastic_green,19,"[0.97, 0.36]",0,10977,5.3734166666666665
plate,plate_paper_green,20,"[0.99, 0.52]",0,8085,5.3734166666666665
boot,boot_rubber_green,21,"[1, 0.53]",0,5064,5.3734166666666665
jacket,jacket_leather_green,22,"[1, 0.54]",0,10575,5.3734166666666665
chair,chair_wood_original,23,"[0.98, 0.97]",0,7424,5.3734166666666665
ball,ball_rubber_blue,24,"[1, 0.64]",0,7128,5.3734166666666665
cup,cup_metal_blue,25,"[0.98, 0.73]",0,7040,5.3734166666666665
bag,bag_paper_blue,26,"[0.99, 0.54]",0,4926,5.3734166666666665
spoon,spoon_wood_blue,27,"[1, 0.91]",0,3344,5.3734166666666665
pitcher,pitcher_glass_green,28,"[1, 0.51]",0,4673,5.3734166666666665
bottle,bottle_glass_blue,29,"[1, 0.8]",0,6050,5.3734166666666665
bowl,bowl_glass_green,30,"[0.98, 0.65]",0,36245,5.3734166666666665
chair,chair_metal_green,31,"[0.99, 0.51]",0,25863,5.3734166666666665
bot_check,Barbara,1,Barbara,1,0,4.173666666666667
jacket,jacket_denim_original,3,"[0.97, 0.95]",1,6998,4.173666666666667
bag,bag_paper_blue,4,"[0.77, 0.02]",1,13247,4.173666666666667
plate,plate_plastic_green,5,"[0.97, 0.03]",1,7417,4.173666666666667
chair,chair_plastic_purple,6,"[0.97, 0.02]",1,5433,4.173666666666667
cup,cup_plastic_original,7,"[0.98, 0.98]",1,4573,4.173666666666667
box,box_wood_green,8,"[0.98, 0.02]",1,7364,4.173666666666667
plate,plate_paper_green,9,"[0.97, 0.03]",1,4486,4.173666666666667
table,table_wood_green,10,"[0.98, 0.03]",1,4331,4.173666666666667
chair,chair_wood_original,11,"[0.99, 0.99]",1,6323,4.173666666666667
bottle,bottle_plastic_original,12,"[0.97, 0.96]",1,4346,4.173666666666667
pitcher,pitcher_plastic_original,13,"[0.98, 0.98]",1,4777,4.173666666666667
table,table_metal_original,14,"[0.98, 0.98]",1,5287,4.173666666666667
bowl,bowl_metal_blue,15,"[0.98, 0.02]",1,8066,4.173666666666667
pitcher,pitcher_glass_green,16,"[0.99, 0.08]",1,6372,4.173666666666667
jacket,jacket_leather_green,17,"[0.99, 0.09]",1,6332,4.173666666666667
boot,boot_leather_original,18,"[0.99, 0.98]",1,3930,4.173666666666667
pitcher,pitcher_metal_blue,19,"[0.97, 0.03]",1,6155,4.173666666666667
bottle,bottle_glass_blue,20,"[0.99, 0.39]",1,11515,4.173666666666667
spoon,spoon_metal_original,21,"[0.98, 0.99]",1,5359,4.173666666666667
box,box_cardboard_original,22,"[0.99, 0.97]",1,3756,4.173666666666667
spoon,spoon_wood_blue,23,"[0.98, 0.94]",1,5718,4.173666666666667
boot,boot_rubber_green,24,"[0.98, 0.02]",1,4213,4.173666666666667
cup,cup_metal_blue,25,"[0.97, 0.3]",1,7914,4.173666666666667
ball,ball_rubber_blue,26,"[0.96, 0.56]",1,11539,4.173666666666667
ball,ball_plastic_green,27,"[0.99, 0.37]",1,4966,4.173666666666667
bag,bag_plastic_original,28,"[0.98, 0.97]",1,4739,4.173666666666667
spoon,spoon_plastic_green,29,"[0.97, 0.17]",1,4281,4.173666666666667
chair,chair_metal_green,30,"[0.97, 0.02]",1,4455,4.173666666666667
bowl,bowl_glass_green,31,"[0.97, 0.05]",1,4070,4.173666666666667
bot_check,Mary,1,Mary,2,0,2.4893
plate,plate_paper_green,3,"[0.82, 0.17]",2,7970,2.4893
boot,boot_leather_original,4,"[0.78, 0.84]",2,3993,2.4893
cup,cup_metal_blue,5,"[0.43, 0.35]",2,8659,2.4893
box,box_wood_green,6,"[0.7, 0]",2,8768,2.4893
jacket,jacket_leather_green,7,"[0.67, 0.35]",2,3514,2.4893
bag,bag_paper_blue,8,"[0.7, 0.69]",2,2708,2.4893
spoon,spoon_plastic_green,9,"[0.8, 0.8]",2,3146,2.4893
spoon,spoon_metal_original,10,"[1, 1]",2,2952,2.4893
plate,plate_plastic_green,11,"[0.67, 0.16]",2,4722,2.4893
bottle,bottle_glass_blue,12,"[0.99, 0.81]",2,3978,2.4893
table,table_wood_green,13,"[0.8, 0.49]",2,3688,2.4893
pitcher,pitcher_metal_blue,14,"[0.79, 0.29]",2,2642,2.4893
pitcher,pitcher_glass_green,15,"[0.87, 0.31]",2,2076,2.4893
ball,ball_plastic_green,16,"[0.81, 0.98]",2,2322,2.4893
jacket,jacket_denim_original,17,"[1, 1]",2,2922,2.4893
chair,chair_metal_green,18,"[0.73, 0.27]",2,6984,2.4893
cup,cup_plastic_original,19,"[1, 1]",2,2592,2.4893
bowl,bowl_metal_blue,20,"[1, 0]",2,3306,2.4893
pitcher,pitcher_plastic_original,21,"[1, 1]",2,6404,2.4893
chair,chair_plastic_purple,22,"[0.57, 0]",2,7144,2.4893
box,box_cardboard_original,23,"[1, 1]",2,2714,2.4893
spoon,spoon_wood_blue,24,"[1, 1]",2,3140,2.4893
bag,bag_plastic_original,25,"[1, 1]",2,3102,2.4893
bowl,bowl_glass_green,26,"[1, 0.19]",2,2508,2.4893
bottle,bottle_plastic_original,27,"[1, 1]",2,2743,2.4893
chair,chair_wood_original,28,"[1, 1]",2,3065,2.4893
table,table_metal_original,29,"[1, 1]",2,2724,2.4893
ball,ball_rubber_blue,30,"[1, 0.55]",2,2622,2.4893
boot,boot_rubber_green,31,"[0.37, 0.22]",2,5670,2.4893
