comments,education,language,gender,workerid,age,enjoyment,asses
,3,English,Male,0,43,2,Yes
,2,English,Male,1,29,1,Yes
The survey was clear and concise.,3,English,Male,2,40,2,Yes
,3,English,Male,3,30,1,No
,4,English,Female,4,42,2,Yes
Thank you!,3,English,Female,5,30,2,Yes
"It was kind of interesting that all of the objects I was shown were typical objects for the word given. Now, if they had asked how typical it was for that particular color or material to be used, than the answers might have been different. For example- the green boot. Is it a typical boot? Absolutely. Do I normally expect it to be green? Not really. But the question asked was if it was a typical boot. So I said highly yes. Maybe some distinction in the instructions would have been helpful?",3,English,Female,6,32,1,Yes
Thanks take care,2,English,Male,7,37,2,Yes
,1,English,Female,8,36,2,Yes
Awesome! ,1,English,Female,9,48,2,Yes
,2,English,Female,10,37,2,Yes
,1,english,Male,11,28,1,Yes
,3,english,Male,12,34,1,Yes
GOOD ONE ,3,ENGLISH,Female,13,29,2,Yes
No.,3,English,Female,14,43,2,Yes
